word	US/GenAM    UK/RP
Aachen	/ˈɑkən/	/ˈɑːkən/
aa	/ˈɑ.ɑ/	/ˈɑː.ɑː/
aalii	/ɑˈliˌi/	/ɑːˈliːiː/
Aalst	/ɑlst/	/ɑːlst/
aam	/ɑm/	/ɑːm/
aandblom	/ˈɑnt.blɑm/	/ˈɑːnt.blɒm/
aardvark	/ˈɑɹd.vɑɹk/	/ˈɑːd.vɑːk/
aardwolf	/ˈɑɹd.ˌwʊlf/	/ˈɑːdˌwʊlf/
Aare	/ˈɑ.ɹə/	/ˈɑː.ɹə/
Aarhus	/ˈɔɹˌhus/	/ˈɔːˌhuːs/
Aar	/ɑɹ/	/ɑːɹ/
Aaron	/ˈɛɹ.ən/	/ˈɛəˈɹən/
Aaronic	/æɹˈɑn.ɪk/	/æɹˈɒn.ɪk/
Aaronical	/æɹ.ɑˈnɪ.kəl/	/æɹ.ɑˈnɪ.kəl/
Aaronite	/ˈæɹ.əˌnaɪt/	/ˈeə(ɹ).n̩aɪt/
Aaron's beard	/ˈɝ.ənz bɪɹd/	/ˈɜːɹ.ənz bɪɹd/
Aaron's rod	/ˈæɹ.ənz ɹɑd/	/ˈɜːɹ.ənz ɹɒd/
AARP	/eɪ eɪ ɑɹ ˈpi/	/eɪ eɪ ɑː ˈpiː/
aasvogel	/ˈɑsˌfoʊ.ɡəl/	/ˈɑːsˌfəʊ.ɡəl/
aba	/ˈæ.bə/	/əˈbɑː/
aba	/əˈbɑ/	/əˈbɑː/
abaca	/ˌæb.əˈkɑ/	/ˌæb.əˈkɑ/
aback	/əˈbæk/	/əˈbæk/
abackward	/əˈbæk.wəd/	/əˈbæk.wəd/
abacus	/ˈæb.ə.kəs/	/ˈæb.ə.kəs/
abaft	/əˈbæft/	/əˈbæft/
abaht	/əˈbɑt/	/əˈbɑːt/
abalone	/æb.əˈloʊ.ni/	/æb.əˈləʊ.ni/
aband	/əˈbænd/	/əˈbænd/
abandon	/əˈbæn.dn̩/	/əˈbæn.dn̩/
abandoned	/əˈbæn.dn̩d/	/əˈbæn.dn̩d/
abandonedly	/əˈbæn.dn̩.əd.li/	/əˈbæn.dn̩.əd.li/
abandonment	/əˈbæn.dn̩.mn̩t/	/əˈbæn.dn̩.mn̩t/
abased	/əˈbeɪst/	/əˈbeɪst/
abasedly	/əˈbeɪs.əd.li/	/əˈbeɪs.ɪd.li/
abase	/əˈbeɪs/	/əˈbeɪs/
abash	/əˈbæʃ/	/əˈbæʃ/
abashedly	/əˈbæʃ.ɪd.li/	/əˈbæʃ.ɪd.li/
abashedness	/əˈbæʃ.ɪd.nɪs/	/əˈbæʃ.ɪd.nɪs/
abashless	/əˈbæʃ.ləs/	/əˈbæʃ.lɪs/
abashment	/əˈbæʃ.mənt/	/əˈbæʃ.mənt/
abate	/əˈbeɪt/	/əˈbeɪt/
abatis	/ˈæb.əˌti/	/ˈæb.əˌtiː/
abatised	/ˈæb.əˌtid/	/ˈæb.əˌtɪst/
abattoir	/ˈæb.əˌtwɑɹ/	/ˈæb.əˌtwɑː(ɹ)/
Abaza	/əˈbɑ.zə/	/əˈbɑː.zə/
abba	/ˈæb.ə/	/ˈæb.ə/
Abba	/ˈæb.ə/	/ˈæb.ə/
abbess	/ˈæb.ɪs/	/ˈæb.ɪs/
abbot	/ˈæb.ət/	/ˈæb.ət/
abbreviated	/əˈbɹi.viˌeɪ.tɪd/	/əˈbɹiːvieɪtɪd/
abbreviate	/əˈbɹi.vi.eɪt/	/ə.ˈbɹiː.vi.eɪt/
abbreviate	/əˈbɹi.vi.ət/	/ə.ˈbɹiː.vi.eɪt/
abbreviate	/əˈbɹi.vi.eɪt/	/ə.ˈbɹiː.vi.eɪt/
abbreviation	/əˌbɹi.viˈeɪ.ʃn̩/	/əˌbɹiː.viˈeɪ.ʃən/
abbreviator	/əˈbɹi.viˌeɪ.təɹ/	/əˈbɹiː.viˌeɪ.tə/
abdicated	/ˈæb.dɪ.keɪ.tɪd/	/ˈæb.dɪ.keɪ.tɪd/
abdication	/ˌæb.dəˈkeɪ.ʃən/	/ˌæb.dəˈkeɪ.ʃən/
abdomen	/ˈæb.də.mən/	/ˈæb.də.mən/
abdominal	/æbˈdɑm.ə.nl̩/	/æbˈdɒm.ə.nl̩/
abdominal decompression	/æbˈdɑm.ə.nəl di.kəmˈpɹɛʃ.ən/	/æbˈdɒm.ə.nəl diː.kəmˈpɹɛʃ.ən/
abdominal gestation	/æbˈdɑm.ə.nl̩ d͡ʒɛˈsteɪ.ʃn̩/	/æbˈdɒm.ə.nl̩ d͡ʒɛˈsteɪ.ʃn̩/
abdominal inguinal ring	/æbˈdɑm.ə.nl̩ ˈɪŋ.ɡwɪn.l̩ ɹɪŋ/	/æbˈdɒm.ə.nl̩ ˈɪŋ.ɡwɪn.l̩ ɹɪŋ/
abdominal muscle	/æbˈdɑm.ə.nl̩ ˈmʌs.l̩/	/æbˈdɒm.ə.nl̩ ˈmʌs.l̩/
abdominal quadrant	/æbˈdɑm.ə.nl̩ ˈkwɑd.ɹn̩t/	/æbˈdɒm.ə.nl̩ ˈkwɒd.ɹn̩t/
abdominal reflex	/æbˈdɑm.ə.nl̩ ˈɹi.flɜks/	/æbˈdɒm.ə.nl̩ ˈɹiː.flɜks/
